iter	Passed	Remaining
0	144	7099
1	146	3508
2	147	2309
3	148	1712
4	150	1350
5	151	1109
6	152	935
7	153	806
8	154	704
9	155	622
10	156	555
11	157	499
12	159	452
13	160	411
14	161	376
15	162	344
16	163	317
17	164	292
18	165	270
19	166	250
20	167	231
21	169	215
22	170	199
23	171	185
24	172	172
25	173	159
26	174	148
27	175	137
28	176	127
29	177	118
30	178	109
31	179	100
32	180	92
33	181	85
34	181	77
35	182	71
36	183	64
37	184	58
38	185	52
39	186	46
40	187	41
41	188	35
42	189	30
43	190	25
44	191	21
45	192	16
46	193	12
47	194	8
48	195	3
49	196	0
